排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
1,多诺万-米切尔,爵士,36.30,11.90-22.40,52.9%,4.70-9.10,51.6%,7.90-8.30,94.8%,7,37.70
2,卢卡-东契奇,独行侠,31.00,10.70-21.30,50%,2.70-7.30,36.4%,7.00-10.70,65.6%,6,35.80
3,乔尔-恩比德,76人,30.00,8.50-18.50,45.9%,1.00-4.00,25%,12.00-14.80,81.4%,4,36.30
4,科怀-伦纳德,快船,29.80,10.60-20.70,51.3%,1.70-5.60,31.1%,6.80-7.90,86.2%,11,38.70
5,詹姆斯-哈登,火箭,29.50,8.80-18.90,46.6%,3.40-9.90,33.9%,8.60-10.20,83.9%,11,36.80
6,安东尼-戴维斯,湖人,29.20,10.60-17.80,59.4%,1.00-2.60,39.1%,7.10-9.60,74.4%,9,35.00
7,尼古拉-武切维奇,魔术,28.00,11.20-22.20,50.5%,3.60-8.80,40.9%,2.00-2.20,90.9%,5,37.00
8,扬尼斯-阿德托昆博,雄鹿,26.70,10.00-17.90,55.9%,1.40-4.40,32.5%,5.20-9.00,58%,9,30.80
9,贾马尔-默里,掘金,26.50,9.80-20.30,48.4%,3.80-7.80,49.5%,3.00-3.20,92.3%,12,38.50
10,勒布朗-詹姆斯,湖人,26.30,9.40-16.90,55.9%,2.20-6.00,37%,5.20-7.30,71.2%,9,34.60
11,尼古拉-约基奇,掘金,25.40,9.90-19.20,51.5%,2.80-6.20,44.6%,2.80-3.50,81%,12,37.30
12,杰森-塔特姆,凯尔特人,25.30,8.40-18.90,44.7%,2.80-6.70,41.9%,5.60-7.20,77.2%,11,39.80
13,达米安-利拉德,开拓者,24.30,6.50-16.00,40.6%,3.20-8.20,39.4%,8.00-8.20,97%,4,35.80
14,CJ-麦科勒姆,开拓者,23.20,8.80-19.80,44.4%,2.60-7.00,37.1%,3.00-4.40,68.2%,5,39.20
15,吉米-巴特勒,热火,21.80,5.90-12.30,47.7%,1.00-2.00,50%,9.00-10.70,84.4%,9,35.30
16,马尔科姆-布罗格登,步行者,21.50,6.50-16.20,40%,2.20-6.00,37.5%,6.20-7.00,89.3%,4,40.00
