1,射雕英雄传之东成西就,"张国荣,梁朝伟,张学友",1993-02-05(中国香港),8.8
2,十二怒汉,"亨利·方达,李·科布,马丁·鲍尔萨姆",1957-04-13(美国),9.1
3,剪刀手爱德华,"约翰尼·德普,薇诺娜·瑞德,黛安娜·威斯特",1990-12-06(美国),8.8
4,乱世佳人,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",1939-12-15(美国),9.1
5,初恋这件小事,"马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",2012/6/5,8.8
6,泰坦尼克号,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",1998/4/3,9.4
7,搏击俱乐部,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1999-09-10(意大利),8.8
8,海上钢琴师,"蒂姆·罗斯,比尔·努恩,克兰伦斯·威廉姆斯三世",2019/11/15,9.3
9,甜蜜蜜,"黎明,张曼玉,杜可风",2015/2/13,9.2
10,肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",1994-09-10(加拿大),9.5
11,疯狂原始人,"尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",2013/4/20,9.5
12,钢琴家,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",2002-05-24(法国),8.8
13,蝙蝠侠：黑暗骑士,"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",2008-07-14(阿根廷),9.3
14,哈利·波特与魔法石,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2002/1/26,9.2
15,美丽人生,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",2020/1/3,9.3
16,楚门的世界,"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",1998(罗马尼亚),8.9
17,七武士,"三船敏郎,志村乔,千秋实",1954-04-26(日本),9.1
18,上帝之城,"亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",2002(俄罗斯),8.9
19,音乐之声,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",1965-03-02(美国),9
20,完美的世界,"凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",1993-11-24(美国),8.9
21,飞越疯人院,"杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",1975-11-19(美国),8.8
22,三傻大闹宝莱坞,"阿米尔·汗,黄渤,卡琳娜·卡普",2011/12/8,9.1
23,黄金三镖客,"克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫",1966-12-23(意大利),8.9
24,美国往事,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",2015/4/23,9.1
25,倩女幽魂,"张国荣,王祖贤,午马",2011/4/30,9.1
26,英雄本色,"狄龙,张国荣,周润发",2017/11/17,9.2
27,断背山,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",2005-09-02(意大利),8.9
28,春光乍泄,"张国荣,梁朝伟,张震",1997-05-17(法国),9.2
29,触不可及,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",2011-11-02(法国),9.1
30,喜剧之王,"周星驰,莫文蔚,张柏芝",1999-02-13(中国香港),9
31,迁徙的鸟,"雅克·贝汉,菲利普·拉布罗",2001-12-12(法国),9
32,唐伯虎点秋香,"周星驰,巩俐,郑佩佩",1993-07-01(中国香港),9.1
33,驯龙高手,"杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",2010/5/14,9
34,狮子王,"马修·布罗德里克,尼基塔·卡兰姆,詹姆斯·厄尔·琼斯",1995/7/15,8.8
35,罗马假日,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",1953-08-20(意大利),9.1
36,海豚湾,"里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",2009-07-31(美国),8.9
37,辛德勒的名单,"连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-11-30(美国),9.2
38,窃听风暴,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",2006-03-23(德国),9
39,我爱你,"宋在浩,李顺才,尹秀晶",2011-02-17(韩国),9
40,黑客帝国3：矩阵革命,"基努·里维斯,雨果·维文,凯瑞-安·莫斯",2003/11/5,8.8
41,活着,"葛优,巩俐,牛犇",1994-05-17(法国),9
42,飞屋环游记,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",2009/8/4,8.9
43,一一,"吴念真,金燕玲,李凯莉",2017-07-28(中国台湾),8.9
44,速度与激情5,"范·迪塞尔,保罗·沃克,道恩·强森",2011/5/12,9.1
45,地球上的星星,"塔奈·切赫达,阿米尔·汗,达席尔·萨法瑞",2007-12-21(印度),8.8
46,萤火之森,"内山昂辉,佐仓绫音,后藤弘树",2011-09-17(日本),9
47,龙猫,"秦岚,糸井重里,岛本须美",2018/12/14,9.2
48,当幸福来敲门,"威尔·史密斯,贾登·史密斯,坦迪·牛顿",2008/1/17,9.3
49,爱·回家,"俞承豪,金艺芬,童孝熙",2002-04-05(韩国),9
